no,name,category
1,(사)남북교류협력지원협회,공공기관
2,(재)예술경영지원센터,공공기관
3,(재)우체국금융개발원,공공기관
4,(재)우체국물류지원단,공공기관
5,(재)우체국시설관리단,공공기관 / 공직유관단체
6,(재)일제강제동원피해자지원재단,공공기관
7,(재)축산환경관리원,공공기관 / 공직유관단체
8,(재)한국보건의료정보원,공공기관 / 공직유관단체
9,(재)한국우편사업진흥원,공공기관
10,(재)한국통계정보원,공공기관
11,(재)한국통계진흥원,공공기관
12,(주)강원랜드,공공기관 / 공직유관단체
13,(주)공영홈쇼핑,공공기관 / 공공기관 자회사
14,(주)한국가스기술공사,공공기관 / 공직유관단체 / 공공기관 자회사
15,88관광개발(주),공공기관 / 공직유관단체
16,KDI국제정책대학원,공공기관
17,가덕도신공항건설공단,공공기관 / 공직유관단체
18,가축위생방역지원본부,공공기관 / 공직유관단체
19,강원대학교병원,공공기관 / 공직유관단체
20,강원대학교치과병원,공공기관
21,건강보험심사평가원,공공기관 / 공직유관단체
22,건설근로자공제회,공공기관 / 공직유관단체
23,건축공간연구원,공공기관 / 공직유관단체
24,게임물관리위원회,공공기관 / 공직유관단체
25,경북대학교병원,공공기관 / 공직유관단체
26,경북대학교치과병원,공공기관 / 공직유관단체
27,경상국립대학교병원,공공기관 / 공직유관단체
28,경제인문사회연구회,공공기관 / 공직유관단체
29,공간정보산업진흥원,공공기관
30,공간정보품질관리원,공공기관 / 공직유관단체
31,공무원연금공단,공공기관 / 공직유관단체
32,과학기술사업화진흥원,공공기관 / 공직유관단체
33,과학기술정책연구원,공공기관 / 공직유관단체
34,국가과학기술인력개발원,공공기관
35,국가생명윤리정책원,공공기관
36,국가수리과학연구소,공공기관
37,국가아동권리보장원,공공기관
38,국가유산진흥원,공공기관 / 공직유관단체
39,국가철도공단,공공기관 / 공직유관단체
40,국가평생교육진흥원,공공기관 / 공직유관단체
41,국립공원공단,공공기관 / 공직유관단체
42,국립광주과학관,공공기관 / 공직유관단체
43,국립낙동강생물자원관,공공기관 / 공직유관단체
44,국립농업박물관,공공기관
45,국립대구과학관,공공기관 / 공직유관단체
46,국립박물관문화재단,공공기관 / 공직유관단체
47,국립부산과학관,공공기관 / 공직유관단체
48,국립생태원,공공기관 / 공직유관단체
49,국립아시아문화전당재단,공공기관 / 공직유관단체
50,국립암센터,공공기관 / 공직유관단체
51,국립울진해양과학관,공공기관 / 공직유관단체
52,국립인천해양박물관,공공기관 / 공직유관단체
53,국립중앙의료원,공공기관 / 공직유관단체
54,국립항공박물관,공공기관 / 공직유관단체
55,국립해양박물관,공공기관 / 공직유관단체
56,국립해양생물자원관,공공기관 / 공직유관단체
57,국립호남권생물자원관,공공기관 / 공직유관단체
58,국민건강보험공단,공공기관 / 공직유관단체
59,국민건강보험공단 일산병원,공공기관
60,국민연금공단,공공기관 / 공직유관단체
61,국방과학연구소,공공기관 / 공직유관단체
62,국방기술진흥연구소,공공기관
63,국방기술품질원,공공기관 / 공직유관단체
64,국방전직교육원,공공기관 / 공직유관단체
65,국악방송,공공기관
66,국제방송교류재단,공공기관 / 공직유관단체
67,국제식물검역인증원,공공기관 / 공직유관단체
68,국토교통과학기술진흥원,공공기관 / 공직유관단체
69,국토안전관리원,공공기관 / 공직유관단체
70,국토연구원,공공기관 / 공직유관단체
71,그랜드코리아레저(주),공공기관 / 공직유관단체 / 공공기관 자회사
72,극지연구소,공공기관
73,근로복지공단,공공기관 / 공직유관단체
74,기술보증기금,공공기관 / 공직유관단체
75,기초과학연구원,공공기관 / 공직유관단체
76,노사발전재단,공공기관 / 공직유관단체
77,농림수산식품교육문화정보원,공공기관 / 공직유관단체
78,농림식품기술기획평가원,공공기관 / 공직유관단체
79,농업정책보험금융원,공공기관 / 공직유관단체
80,대구경북첨단의료산업진흥재단,공공기관 / 공직유관단체
81,대외경제정책연구원,공공기관 / 공직유관단체
82,대한무역투자진흥공사,공공기관 / 공직유관단체
83,대한법률구조공단,공공기관 / 공직유관단체
84,대한석탄공사,공공기관 / 공직유관단체
85,대한장애인체육회,공공기관 / 공직유관단체
86,대한적십자사,공공기관 / 공직유관단체
87,대한체육회,공공기관 / 공직유관단체 / 언론사
88,독립기념관,공공기관 / 공직유관단체
89,동남권원자력의학원,공공기관
90,동북아역사재단,공공기관 / 공직유관단체
91,무역안보관리원,공공기관 / 공직유관단체
92,민주화운동기념사업회,공공기관 / 공직유관단체
93,부산대학교병원,공공기관 / 공직유관단체
94,부산대학교치과병원,공공기관 / 공직유관단체
95,부산항만공사,공공기관 / 공직유관단체
96,북한이탈주민지원재단,공공기관 / 공직유관단체
97,분당서울대학교병원,공공기관
98,사립학교교직원연금공단,공공기관 / 공직유관단체
99,산업연구원,공공기관 / 공직유관단체
100,새만금개발공사,공공기관 / 공직유관단체
101,서민금융진흥원,공공기관 / 공직유관단체
102,서울대학교병원,공공기관 / 공직유관단체
103,서울대학교치과병원,공공기관 / 공직유관단체
104,서울올림픽기념국민체육진흥공단,공공기관 / 공직유관단체
105,서울요양원,공공기관
106,선박해양플랜트연구소,공공기관
107,세종학당재단,공공기관 / 공직유관단체
108,소상공인시장진흥공단,공공기관 / 공직유관단체
109,소프트웨어정책연구소,공공기관
110,수도권매립지관리공사,공공기관 / 공직유관단체
111,스포츠윤리센터,공공기관
112,시청자미디어재단,공공기관 / 공직유관단체
113,식품안전정보원,공공기관 / 공직유관단체
114,신용보증기금,공공기관 / 공직유관단체
115,신용보증재단중앙회,공공기관 / 공직유관단체
116,아시아·태평양경제협력체 기후센터,공공기관
117,양육비이행관리원,공공기관 / 공직유관단체
118,에너지경제연구원,공공기관 / 공직유관단체
119,여수광양항만공사,공공기관 / 공직유관단체
120,연구개발특구진흥재단,공공기관
121,영상물등급위원회,공공기관 / 공직유관단체
122,영화진흥위원회,공공기관 / 공직유관단체
123,예금보험공사,공공기관 / 공직유관단체
124,예술의전당,공공기관 / 공직유관단체
125,오송첨단의료산업진흥재단,공공기관 / 공직유관단체
126,울산항만공사,공공기관 / 공직유관단체
127,육아정책연구소,공공기관
128,의료기관평가인증원,공공기관
129,인천국제공항공사,공공기관 / 공직유관단체
130,인천항만공사,공공기관 / 공직유관단체
131,자동차손해배상진흥원,공공기관
132,재단법인 건설기술교육원,공공기관
133,재단법인 대한건설기계안전관리원,공공기관
134,재단법인 장애인기업종합지원센터,공공기관
135,재단법인 한국공공조직은행,공공기관
136,재단법인 한국에너지재단,공공기관 / 공직유관단체
137,재단법인 한국자활복지개발원,공공기관
138,재단법인 한국장기조직기증원,공공기관
139,재외동포협력센터,공공기관 / 공직유관단체
140,전국재해구호협회,공공기관 / 공직유관단체
141,전남대학교병원,공공기관 / 공직유관단체
142,전북대학교병원,공공기관 / 공직유관단체
143,전쟁기념사업회,공공기관 / 공직유관단체
144,정보통신기획평가원,공공기관
145,정보통신산업진흥원,공공기관 / 공직유관단체
146,정보통신정책연구원,공공기관 / 공직유관단체
147,정부법무공단,공공기관 / 공직유관단체
148,제주국제자유도시개발센터,공공기관 / 공직유관단체
149,제주대학교병원,공공기관 / 공직유관단체
150,주식회사 에스알,공공기관
151,주택관리공단(주),공공기관 / 공직유관단체 / 공공기관 자회사
152,주택도시보증공사,공공기관 / 공직유관단체
153,중소기업기술정보진흥원,공공기관 / 공직유관단체
154,중소기업은행,공공기관 / 공직유관단체
155,중소벤처기업연구원,공공기관 / 공직유관단체
156,중소벤처기업진흥공단,공공기관 / 공직유관단체
157,중앙사회서비스원,공공기관 / 공직유관단체
158,차세대수치예보모델개발사업단,공공기관
159,창업진흥원,공공기관 / 공직유관단체
160,축산물품질평가원,공공기관 / 공직유관단체
161,충남대학교병원,공공기관 / 공직유관단체
162,충북대학교병원,공공기관 / 공직유관단체
163,코레일관광개발(주),공공기관 / 공직유관단체
164,코레일네트웍스(주),공공기관 / 공직유관단체
165,코레일로지스(주),공공기관 / 공직유관단체
166,코레일유통(주),공공기관 / 공직유관단체
167,코레일테크(주),공공기관 / 공직유관단체
168,태권도진흥재단,공공기관 / 공직유관단체
169,통일연구원,공공기관 / 공직유관단체
170,학교법인한국폴리텍,공공기관 / 공직유관단체
171,한국가스공사,공공기관 / 공직유관단체
172,한국가스안전공사,공공기관 / 공직유관단체
173,한국개발연구원,공공기관 / 공직유관단체
174,한국건강가정진흥원,공공기관 / 공직유관단체
175,한국건강증진개발원,공공기관 / 공직유관단체
176,한국고용노동교육원,공공기관 / 공직유관단체
177,한국고용정보원,공공기관 / 공직유관단체
178,한국고전번역원,공공기관 / 공직유관단체
179,한국공예디자인문화진흥원,공공기관 / 공직유관단체
180,한국공정거래조정원,공공기관 / 공직유관단체
181,한국공항공사,공공기관 / 공직유관단체
182,한국과학기술기획평가원,공공기관
183,한국과학창의재단,공공기관 / 공직유관단체
184,한국관광공사,공공기관 / 공직유관단체
185,한국관세정보원,공공기관 / 공직유관단체
186,한국광해광업공단,공공기관 / 공직유관단체
187,한국교육개발원,공공기관 / 공직유관단체
188,한국교육과정평가원,공공기관 / 공직유관단체
189,한국교육학술정보원,공공기관 / 공직유관단체
190,한국교통안전공단,공공기관 / 공직유관단체
191,한국교통연구원,공공기관 / 공직유관단체
192,한국국방연구원,공공기관 / 공직유관단체
193,한국국제교류재단,공공기관 / 공직유관단체
194,한국국제보건의료재단,공공기관 / 공직유관단체
195,한국국제협력단,공공기관 / 공직유관단체
196,한국국토정보공사,공공기관 / 공직유관단체
197,한국기상산업기술원,공공기관 / 공직유관단체
198,한국기술교육대학교,공공기관
199,한국나노기술원,공공기관 / 공직유관단체
200,한국남동발전(주),공공기관 / 공직유관단체
201,한국남부발전(주),공공기관 / 공직유관단체
202,한국노동연구원,공공기관 / 공직유관단체
203,한국노인인력개발원,공공기관 / 공직유관단체
204,한국농수산식품유통공사,공공기관 / 공직유관단체
205,한국농어촌공사,공공기관 / 공직유관단체
206,한국농업기술진흥원,공공기관 / 공직유관단체
207,한국농촌경제연구원,공공기관 / 공직유관단체
